id,nom_estab,codigo_act,nombre_act,per_ocu,cod_postal,entidad,localidad,telefono,correoelec,www
1056618,evime,541380,laboratorios de pruebas,0 a 5 personas,1419,ciudad de mexico,alvaro obregon,5555985567,evime@live.com.mx,www.evime.com.mx
6501530,fisher clinical service,541380,laboratorios de pruebas,11 a 30 personas,9220,ciudad de mexico,iztapalapa,56967170,0,0
9133906,fu & fu,541380,laboratorios de pruebas,51 a 100 personas,11580,ciudad de mexico,miguel hidalgo,0,fperez@fufu.com.mx,0
973673,garsa operaciones,541380,laboratorios de pruebas,11 a 30 personas,16030,ciudad de mexico,xochimilco,0,garsaoperaciones@outlock.com,www.garsaperaciones.com.mx
8833836,ibn industrias militares de alta tecnologia balistica,541380,laboratorios de pruebas,101 a 250 personas,11000,ciudad de mexico,miguel hidalgo,5559987330,a.gomez@ibnindustriasmilitares.com,www.ibnindustriasmilitares.com.mx
652830,ideca,541380,laboratorios de pruebas,31 a 50 personas,9450,ciudad de mexico,iztapalapa,0,idecasacv@hotmail.com,ideca.com.mx
982783,iec ingenieros especialistas en cimentacion,541380,laboratorios de pruebas,6 a 10 personas,4870,ciudad de mexico,coyoacan,0,mrodriguez@inecsc.com.mx,0
8879452,iecc sa laboratorios,541380,laboratorios de pruebas,251 y mas personas,11850,ciudad de mexico,miguel hidalgo,5568151874,v.jimenez@mcglobal.mx,0
6871418,inc research clinical services medico limited,541380,laboratorios de pruebas,31 a 50 personas,1900,ciudad de mexico,alvaro obregon,0,benito.lopez@syneoshealth.com,www.syneoshealth.com
6883370,inc research clinical services mexico limited sa de cv,541380,laboratorios de pruebas,251 y mas personas,1900,ciudad de mexico,alvaro obregon,0,benito.lopez@syneoshealth.com,www.syneoshealth.com
9010416,inspecciones vieyra,541380,laboratorios de pruebas,11 a 30 personas,7290,ciudad de mexico,gustavo a. madero,0,vieyra_inspecciones@hotmail.com,0
693283,internacional de bienes servicios e ingenieria,541380,laboratorios de pruebas,11 a 30 personas,15210,ciudad de mexico,venustiano carranza,557590858,info@ibsei.com,0
6324966,intertek testing services de mexico,541380,laboratorios de pruebas,251 y mas personas,2300,ciudad de mexico,azcapotzalco,0,miguel.fernandez@intertek.com,www.intertek.com
990254,investigacion ciencia y tecnologia internacional,541380,laboratorios de pruebas,6 a 10 personas,4930,ciudad de mexico,coyoacan,0,asierra@ictinternacional.com,0
668201,inymet,541380,laboratorios de pruebas,31 a 50 personas,7730,ciudad de mexico,gustavo a. madero,0,alberto@inymet.com.mx,www.inymet.com.mx
8564217,isatel division laboratorios,541380,laboratorios de pruebas,11 a 30 personas,1510,ciudad de mexico,alvaro obregon,0,0,0
888083,joymetez-ay,541380,laboratorios de pruebas,6 a 10 personas,6000,ciudad de mexico,cuauhtemoc,0,facturacion@joymetezay.com,0
8635817,jp calidad y geotecnia,541380,laboratorios de pruebas,31 a 50 personas,9700,ciudad de mexico,iztapalapa,0,0,0
888329,"kanemi, laboratorio de analisis metalurgicos",541380,laboratorios de pruebas,0 a 5 personas,6000,ciudad de mexico,cuauhtemoc,5555184309,joseluisnava05@hotmail.com,0
7717772,laboratorio de analisis ambientales jlcj lab,541380,laboratorios de pruebas,11 a 30 personas,4369,ciudad de mexico,coyoacan,0,jlcjlaboratorio@gmail.com,www.jlcjlab.com
970492,laboratorio de analisis de aguas laboratorio microanalitico de control,541380,laboratorios de pruebas,11 a 30 personas,4370,ciudad de mexico,coyoacan,0,microanalitico@yahoo.com,0
7804736,laboratorio de calibracion de masa,541380,laboratorios de pruebas,6 a 10 personas,1180,ciudad de mexico,alvaro obregon,0,0,0
712635,laboratorio de calibracion y pruebas,541380,laboratorios de pruebas,51 a 100 personas,9400,ciudad de mexico,iztapalapa,156337331,contabilidadfiscal@simca.com.mx,simca.com.mx
6317779,laboratorio de control,541380,laboratorios de pruebas,51 a 100 personas,6880,ciudad de mexico,cuauhtemoc,0,control@grupo-sacmag.com.mx,www.sacmag.com.mx
8711511,laboratorio de control de calidad liec,541380,laboratorios de pruebas,31 a 50 personas,12100,ciudad de mexico,san antonio tecomitl,0,0,0
8843292,laboratorio de diesel,541380,laboratorios de pruebas,0 a 5 personas,16035,ciudad de mexico,xochimilco,0,0,0
8126709,laboratorio de revision de obras,541380,laboratorios de pruebas,0 a 5 personas,2100,ciudad de mexico,azcapotzalco,0,0,0
6307766,laboratorio del grupo microanalisis,541380,laboratorios de pruebas,51 a 100 personas,15850,ciudad de mexico,venustiano carranza,0,admon@evtweb.com,0
6314189,laboratorio nacional de la construccion sa,541380,laboratorios de pruebas,51 a 100 personas,3800,ciudad de mexico,benito juarez,0,0,0
989270,laboratorio prisma,541380,laboratorios de pruebas,0 a 5 personas,6010,ciudad de mexico,cuauhtemoc,5555128063,0,0
707624,laboratorio tecnoambiental,541380,laboratorios de pruebas,31 a 50 personas,2080,ciudad de mexico,azcapotzalco,5514744058,contabilidad@tecnoambiental.com,www.tecnoambiental.com.mx
6313092,laboratorios abc quimica investigacion y analisis,541380,laboratorios de pruebas,51 a 100 personas,1740,ciudad de mexico,alvaro obregon,0,jaime.balandrano@intertk.com,www.abcanalitic.com
6785404,laboratorios abc sucursal alvaro obregon,541380,laboratorios de pruebas,51 a 100 personas,1760,ciudad de mexico,alvaro obregon,0,jaime.balandrano@intertek.com,www.abcanalitic.com.mx
6318022,laboratorios aimsa,541380,laboratorios de pruebas,51 a 100 personas,4030,ciudad de mexico,coyoacan,0,contabilidad@aimsamx.com,www.aimsamx.com
6317048,laboratorios fermi,541380,laboratorios de pruebas,51 a 100 personas,1740,ciudad de mexico,alvaro obregon,0,jaime.balandrano@intertek.com,www.fermi.com
656288,laboratorios quibimex,541380,laboratorios de pruebas,11 a 30 personas,9060,ciudad de mexico,iztapalapa,5576091544,0,0
954593,labotec mexico,541380,laboratorios de pruebas,11 a 30 personas,3400,ciudad de mexico,benito juarez,0,labotec@labotec.com.mx,www.labotec.com.mx
901541,labotec mexico,541380,laboratorios de pruebas,31 a 50 personas,3400,ciudad de mexico,benito juarez,55600000000,0,www.labotec.com.mx
847057,liac consultores,541380,laboratorios de pruebas,31 a 50 personas,3810,ciudad de mexico,benito juarez,0,liac@prodigy.net.mx,0
662365,lundbeck mexico,541380,laboratorios de pruebas,51 a 100 personas,9360,ciudad de mexico,iztapalapa,0,0,www.lundbeck.com.mx
7338110,mantenimiento industrial proyectos electricos,541380,laboratorios de pruebas,0 a 5 personas,15850,ciudad de mexico,venustiano carranza,5544154477,mipe-ingenieria@hotmail.com,0
8026926,mastech,541380,laboratorios de pruebas,31 a 50 personas,11400,ciudad de mexico,miguel hidalgo,0,0,0
9221232,meprex,541380,laboratorios de pruebas,0 a 5 personas,6010,ciudad de mexico,cuauhtemoc,0,0,0
752706,metrologia messtechnik,541380,laboratorios de pruebas,6 a 10 personas,11270,ciudad de mexico,miguel hidalgo,0,0,0
6725546,microecol,541380,laboratorios de pruebas,11 a 30 personas,15850,ciudad de mexico,venustiano carranza,0,contabilidad@microanalisis.com,0
6726718,microhindust,541380,laboratorios de pruebas,31 a 50 personas,15860,ciudad de mexico,venustiano carranza,5557687744,contabilidad@microanalisis.com,0
8368163,nanopharmacia diagnostica,541380,laboratorios de pruebas,31 a 50 personas,6760,ciudad de mexico,cuauhtemoc,0,0,0
8879716,naster ,541380,laboratorios de pruebas,11 a 30 personas,8500,ciudad de mexico,miguel hidalgo,0,0,0
673727,neurofisiologia clinica,541380,laboratorios de pruebas,0 a 5 personas,7300,ciudad de mexico,gustavo a. madero,0,0,0
6258374,nyce laboratorios,541380,laboratorios de pruebas,51 a 100 personas,6470,ciudad de mexico,cuauhtemoc,0,dhernandez@nycelaboratorios.com,www.nycelaboratorios.com
951569,oceanserve,541380,laboratorios de pruebas,6 a 10 personas,3200,ciudad de mexico,benito juarez,0,0,www.oceanserve.net
8326816,oiltest internationsal,541380,laboratorios de pruebas,51 a 100 personas,6700,ciudad de mexico,cuauhtemoc,0,jasanchez@otilatam.com,www.otilatam.com
8565040,optica pacheco,541380,laboratorios de pruebas,0 a 5 personas,1080,ciudad de mexico,alvaro obregon,0,0,0
6495089,oxigeno vc,541380,laboratorios de pruebas,6 a 10 personas,8400,ciudad de mexico,iztacalco,5556649510,0,www.ovcmexico.com
771204,pep ingenieria de suelos,541380,laboratorios de pruebas,51 a 100 personas,9530,ciudad de mexico,iztapalapa,0,0,0
6307755,qually corporacion,541380,laboratorios de pruebas,11 a 30 personas,11290,ciudad de mexico,miguel hidalgo,0,lmartinez@quallycorp.com.mx,www.quallycorp.com.mx
6306624,resistencias san marino,541380,laboratorios de pruebas,101 a 250 personas,7330,ciudad de mexico,gustavo a. madero,0,0,www.gposanmarino.com.mx
671484,secovam labaind,541380,laboratorios de pruebas,31 a 50 personas,7280,ciudad de mexico,gustavo a. madero,0,contacto@secovam.com,www.secovam.com
7767908,segurifuego equipos especializados,541380,laboratorios de pruebas,6 a 10 personas,2440,ciudad de mexico,azcapotzalco,5540803282,segurifuegoee@gmail.com,0
7958971,sera lab innovacion en el servicio,541380,laboratorios de pruebas,6 a 10 personas,11560,ciudad de mexico,miguel hidalgo,0,contacto@sera-lab.com,www.sera-lab.com
869758,servicio de coordinacion en recursos de calidad,541380,laboratorios de pruebas,11 a 30 personas,3810,ciudad de mexico,benito juarez,0,servicio.coordinacion@yahoo.com,0
6430212,sgs multilab,541380,laboratorios de pruebas,11 a 30 personas,11540,ciudad de mexico,miguel hidalgo,53957226,multilap.cotizacion@sgs.com,www.sgs.com
775721,silliker mexico,541380,laboratorios de pruebas,31 a 50 personas,11870,ciudad de mexico,miguel hidalgo,0,rebeca.navarro@mxns.com,www.merliuxnutriescenses.com
6736778,soccma,541380,laboratorios de pruebas,6 a 10 personas,11590,ciudad de mexico,miguel hidalgo,0,soccma_lab@hotmail.com,0
6355576,sociedad mexicana de normalizacion y certificacion sc,541380,laboratorios de pruebas,31 a 50 personas,3840,ciudad de mexico,benito juarez,0,0,www.normex.com
683862,synergy biotech,541380,laboratorios de pruebas,6 a 10 personas,2490,ciudad de mexico,azcapotzalco,53474138,0,0
8625717,taller mecanica industrial japones,541380,laboratorios de pruebas,0 a 5 personas,6720,ciudad de mexico,cuauhtemoc,0,0,0
6856998,tapvs,541380,laboratorios de pruebas,51 a 100 personas,3100,ciudad de mexico,benito juarez,0,cviruega@tercerosautorizados.com.mx,www.tercerosautorizados.com.mx
774844,tecnologia y servicio,541380,laboratorios de pruebas,31 a 50 personas,7750,ciudad de mexico,gustavo a. madero,0,tyssa@tyssalab.com.mx,www.tyssalab.com.mx
6798377,tecnometria,541380,laboratorios de pruebas,11 a 30 personas,7230,ciudad de mexico,gustavo a. madero,5544441586,dhl@tecnometria.mx,www.tecnometria.mx
8539070,teslamex,541380,laboratorios de pruebas,0 a 5 personas,3630,ciudad de mexico,benito juarez,52439056,0,0
6871188,tetra technologies de mexico,541380,laboratorios de pruebas,6 a 10 personas,11560,ciudad de mexico,miguel hidalgo,0,nmolina@romo-curiel.com.mx,0
690376,"trimek, s.a. de c.v.",541380,laboratorios de pruebas,0 a 5 personas,11570,ciudad de mexico,miguel hidalgo,0,trimek@trimek.com.mx,www.trimek.com
710264,universa,541380,laboratorios de pruebas,0 a 5 personas,8500,ciudad de mexico,iztacalco,5551154736,universa131212@outlook.com,www.universa.com.mx
740152,uvnom,541380,laboratorios de pruebas,6 a 10 personas,2820,ciudad de mexico,azcapotzalco,0,uvnom@uvnom.com,www.uvnom.com
